车型,销售时间,销量,最低售价,最高售价
宝马5系,2020-7-1 0:0:0,35549,421900.0,549900.0
别克GL8,2020-7-1 0:0:0,33847,232900.0,533900.0
凯美瑞,2020-7-1 0:0:0,33155,179800.0,279800.0
奥迪A6L,2020-7-1 0:0:0,33015,419799.99999999994,653800.0
桑塔纳,2020-7-1 0:0:0,32564,86900.0,115900.0
逸动,2020-7-1 0:0:0,32335,72900.0,103900.0
昂科威,2020-7-1 0:0:0,32288,189899.99999999997,279900.0
荣威RX5,2020-7-1 0:0:0,31937,99800.0,139800.0
宝马3系,2020-7-1 0:0:0,31690,293900.0,409900.0
途观L,2020-7-1 0:0:0,31377,215799.99999999997,285800.0
长安CS75 PLUS,2020-7-1 0:0:0,30598,106900.0,154900.0
奔驰GLC,2020-7-1 0:0:0,29779,394799.99999999994,587800.0
本田XR-V,2020-7-1 0:0:0,29505,127899.99999999999,175900.0
皓影,2020-7-1 0:0:0,29454,169800.0,252800.0
缤智,2020-7-1 0:0:0,29422,127800.0,176800.0
迈腾,2020-7-1 0:0:0,29307,186900.0,309900.0
奔驰C级,2020-7-1 0:0:0,29174,307800.0,474799.99999999994
奇骏,2020-7-1 0:0:0,28233,188800.0,273300.0
奥迪A4L,2020-7-1 0:0:0,27267,305800.0,396800.0
奔驰E级,2020-7-1 0:0:0,26940,430800.0,642800.0
探岳,2020-7-1 0:0:0,26928,186900.0,264900.0
途岳,2020-7-1 0:0:0,26452,165799.99999999997,223800.0
荣威Ei5,2020-7-1 0:0:0,26347,128800.00000000001,161100.0
宝马X3,2020-7-1 0:0:0,26243,389799.99999999994,479799.99999999994
奥迪Q5L,2020-7-1 0:0:0,26133,387800.0,498000.0
五菱荣光V,2020-7-1 0:0:0,25697,39800.0,49800.00000000001
RAV4荣放,2020-7-1 0:0:0,25523,174800.0,259800.0
君威,2020-7-1 0:0:0,25275,188800.0,249800.0
逍客,2020-7-1 0:0:0,25132,154900.0,188900.0
凌派,2020-7-1 0:0:0,24372,99800.0,169800.0
荣威i5,2020-7-1 0:0:0,24151,67900.0,92899.99999999999
Model 3,2020-7-1 0:0:0,22825,266700.0,339900.0
瑞虎8,2020-7-1 0:0:0,22730,88800.00000000001,159900.0
帕萨特,2020-7-1 0:0:0,22620,185900.0,282900.0
亚洲龙,2020-7-1 0:0:0,22424,199800.0,289800.0
宏光MINIEV,2020-7-1 0:0:0,22348,28800.0,43600.0
轩逸,2020-8-1 0:0:0,113209,99800.0,143000.0
朗逸,2020-8-1 0:0:0,85144,99900.0,161900.0
哈弗H6,2020-8-1 0:0:0,68003,98000.0,154900.0
卡罗拉,2020-8-1 0:0:0,65308,109800.0,159800.0
宝来,2020-8-1 0:0:0,64637,98800.00000000001,157000.0
速腾,2020-8-1 0:0:0,62665,129900.0,192900.0
英朗,2020-8-1 0:0:0,61540,119900.0,125900.0
本田CR-V,2020-8-1 0:0:0,54874,169800.0,276800.0
五菱宏光,2020-8-1 0:0:0,54484,45800.0,58800.0
雷凌,2020-8-1 0:0:0,46151,113800.00000000001,152800.0
思域,2020-8-1 0:0:0,41769,119900.0,169899.99999999997
博越,2020-8-1 0:0:0,41610,89800.0,146800.0
雅阁,2020-8-1 0:0:0,41595,179800.0,259800.0
帝豪,2020-8-1 0:0:0,40314,62800.0,91800.0
桑塔纳,2020-8-1 0:0:0,37378,86900.0,115900.0
长安CS75 PLUS,2020-8-1 0:0:0,36662,106900.0,154900.0
迈腾,2020-8-1 0:0:0,35642,186900.0,309900.0
荣威RX5,2020-8-1 0:0:0,35354,99800.0,139800.0
宏光MINIEV,2020-8-1 0:0:0,35150,28800.0,43600.0
奥迪A6L,2020-8-1 0:0:0,34096,419799.99999999994,653800.0
凯美瑞,2020-8-1 0:0:0,33741,179800.0,279800.0
探岳,2020-8-1 0:0:0,33717,186900.0,264900.0
奥迪Q5L,2020-8-1 0:0:0,33688,387800.0,498000.0
别克GL8,2020-8-1 0:0:0,33597,232900.0,533900.0
奇骏,2020-8-1 0:0:0,33144,188800.0,273300.0
本田XR-V,2020-8-1 0:0:0,32990,127899.99999999999,175900.0
宝马3系,2020-8-1 0:0:0,32817,293900.0,409900.0
缤智,2020-8-1 0:0:0,32197,127800.0,176800.0
昂科威,2020-8-1 0:0:0,32102,189899.99999999997,279900.0
途岳,2020-8-1 0:0:0,31905,165799.99999999997,223800.0
逸动,2020-8-1 0:0:0,30757,72900.0,103900.0
奔驰GLC,2020-8-1 0:0:0,30636,394799.99999999994,587800.0
途观L,2020-8-1 0:0:0,30593,215799.99999999997,285800.0
皓影,2020-8-1 0:0:0,30562,169800.0,252800.0
奔驰C级,2020-8-1 0:0:0,29949,307800.0,474799.99999999994
宝马5系,2020-8-1 0:0:0,28524,421900.0,549900.0
奥迪A4L,2020-8-1 0:0:0,27337,305800.0,396800.0
帕萨特,2020-8-1 0:0:0,27045,185900.0,282900.0
五菱荣光V,2020-8-1 0:0:0,26927,39800.0,49800.00000000001
君威,2020-8-1 0:0:0,26859,188800.0,249800.0
哈弗M6,2020-8-1 0:0:0,26317,66000.0,92899.99999999999
奔驰E级,2020-8-1 0:0:0,26280,430800.0,642800.0
荣威Ei5,2020-8-1 0:0:0,25928,128800.00000000001,161100.0
逍客,2020-8-1 0:0:0,25804,154900.0,188900.0
瑞虎8,2020-8-1 0:0:0,25072,88800.00000000001,159900.0
RAV4荣放,2020-8-1 0:0:0,24753,174800.0,259800.0
传祺GS4,2020-8-1 0:0:0,24475,89800.0,139800.0
宝骏530,2020-8-1 0:0:0,23402,70800.0,105800.0
长安CS55,2020-8-1 0:0:0,23007,82899.99999999999,133900.0
天籁,2020-8-1 0:0:0,22952,179800.0,269800.0
轩逸,2020-9-1 0:0:0,113726,99800.0,143000.0
哈弗H6,2020-9-1 0:0:0,93209,98000.0,154900.0
朗逸,2020-9-1 0:0:0,80579,99900.0,161900.0
宝来,2020-9-1 0:0:0,75903,98800.00000000001,157000.0
速腾,2020-9-1 0:0:0,69599,129900.0,192900.0
卡罗拉,2020-9-1 0:0:0,68394,109800.0,159800.0
英朗,2020-9-1 0:0:0,65625,119900.0,125900.0
本田CR-V,2020-9-1 0:0:0,61463,169800.0,276800.0
五菱宏光,2020-9-1 0:0:0,60076,45800.0,58800.0
